순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
222,2016,국회공직자윤리위원회,김동완,국회,국회의원,채무,"-231,635","-98,500","-15,590","-314,545",,
223,2016,국회공직자윤리위원회,김동완,국회,국회의원,회원권,"29,997",0,"23,277","6,720",,
224,2016,국회공직자윤리위원회,김동완,국회,국회의원,총계,"783,884","4,304","63,941","724,247",,
225,2016,국회공직자윤리위원회,김동철,국회,국회의원,토지,"5,814",545,0,"6,359",,
226,2016,국회공직자윤리위원회,김동철,국회,국회의원,건물,"707,000","34,000",0,"741,000",,
227,2016,국회공직자윤리위원회,김동철,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"25,460",0,"2,330","23,130",,
228,2016,국회공직자윤리위원회,김동철,국회,국회의원,예금,"861,053","582,934","628,862","815,125",,
229,2016,국회공직자윤리위원회,김동철,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"57,526",0,"57,526",,
230,2016,국회공직자윤리위원회,김동철,국회,국회의원,유가증권,"267,958","237,758","126,910","378,806",,
231,2016,국회공직자윤리위원회,김동철,국회,국회의원,총계,"1,867,285","912,763","758,102","2,021,946",,
232,2016,국회공직자윤리위원회,김명연,국회,국회의원,토지,"1,619,271","55,265",0,"1,674,536",,
233,2016,국회공직자윤리위원회,김명연,국회,국회의원,건물,"419,261",0,581,"418,680",,
